delegation,superficie,chambres,salle_de_bains,etat,etage,gouvernorat_ariana,gouvernorat_ben-arous,gouvernorat_la-manouba,gouvernorat_tunis,prix
29.0,95,2,1,9,1,0.0,0.0,0.0,1.0,155000.0
36.0,145,2,1,10,1,0.0,0.0,0.0,1.0,768500.0
37.0,150,2,1,9,1,0.0,0.0,0.0,1.0,1200000.0
36.0,220,2,1,9,1,0.0,0.0,0.0,1.0,1050000.0
30.0,179,2,1,9,1,0.0,0.0,0.0,1.0,465000.0
30.0,110,2,1,9,1,0.0,0.0,0.0,1.0,265000.0
37.0,120,3,2,11,1,0.0,0.0,0.0,1.0,500000.0
36.0,72,1,1,11,1,0.0,0.0,0.0,1.0,320000.0
35.0,140,2,2,11,1,0.0,0.0,0.0,1.0,700000.0
36.0,90,2,1,11,1,0.0,0.0,0.0,1.0,195000.0
35.0,117,1,1,8,2,0.0,0.0,0.0,1.0,300000.0
36.0,300,4,1,10,1,0.0,0.0,0.0,1.0,680000.0
36.0,90,2,1,6,2,0.0,0.0,0.0,1.0,175000.0
11.0,115,2,1,11,1,0.0,0.0,0.0,1.0,150000.0
36.0,172,2,1,9,1,0.0,0.0,0.0,1.0,845000.0
36.0,300,4,5,7,1,0.0,0.0,0.0,1.0,2800000.0
38.0,146,4,3,8,1,0.0,0.0,0.0,1.0,530000.0
36.0,164,2,1,9,1,0.0,0.0,0.0,1.0,580000.0
